t1,t2,q
0,29.9064232,0
29.9064232,36.94738887,8.935312304
36.94738887,34.21606582,-0.166939952
34.21606582,35.48045585,3.568853378
35.48045585,34.93434779,1.878677906
34.93434779,35.20594519,2.644414317
35.20594519,35.10355458,2.296272218
35.10355458,35.171423,2.45678749
35.171423,35.16126088,2.385215482
35.16126088,35.18678987,2.419939544
35.18678987,35.19656904,2.406619121
35.19656904,35.21405479,2.415256322
35.21405479,35.22812252,2.41350228
35.22812252,35.24181923,2.414469992
35.24181923,35.25542748,2.415684941
35.25542748,35.27337433,2.421318536
35.27337433,35.2895058,2.421211026
35.2895058,35.30621591,2.423324775
35.30621591,35.32244886,2.424437803
35.32244886,35.33431147,2.421612221
35.33431147,35.34769924,2.424266263
35.34769924,35.36164645,2.426099715
35.36164645,35.37400459,2.425837899
35.37400459,35.38675758,2.427408782
35.38675758,35.39914133,2.428253153
35.39914133,35.41180093,2.429707463
35.41180093,35.42804567,2.434497327
35.42804567,35.44147233,2.433225148
35.44147233,35.45318672,2.432790582
35.45318672,35.46618033,2.435184574
35.46618033,35.47995213,2.437199278
35.47995213,35.49100711,2.435793016
35.49100711,35.50688962,2.441672555
35.50688962,35.51987378,2.440285638
35.51987378,35.53230765,2.440970955
35.53230765,35.5465298,2.443942468
35.5465298,35.55717178,2.441715713
35.55717178,35.56867347,2.443588141
35.56867347,35.57957661,2.444084132
35.57957661,35.5914906,2.446132546
35.5914906,35.60564079,2.449502512
35.60564079,35.61711084,2.448168942
35.61711084,35.62766294,2.448342502
35.62766294,35.63833401,2.449465646
35.63833401,35.64881742,2.450293476
35.64881742,35.65925414,2.451244413
35.65925414,35.67029074,2.452837474
35.67029074,35.68183075,2.454391157
35.68183075,35.69489679,2.457015363
35.69489679,35.70733036,2.457626285
35.70733036,35.71987687,2.458922448
35.71987687,35.72961474,2.45730776
35.72961474,35.73970025,2.458582086
35.73970025,35.75257061,2.462326695
35.75257061,35.76154371,2.459654203
35.76154371,35.77466112,2.464652427
35.77466112,35.78469292,2.462815106
35.78469292,35.79401023,2.463055258
35.79401023,35.8034375,2.464051882
35.8034375,35.81277286,2.464857101
35.81277286,35.82416797,2.467805221
35.82416797,35.83324036,2.466566889
35.83324036,35.8437255,2.468843
35.8437255,35.85211074,2.46774088
35.85211074,35.86154441,2.469587281
35.86154441,35.87010871,2.469615633
35.87010871,35.88184166,2.47359929
35.88184166,35.88934064,2.470481858
35.88934064,35.8984574,2.472813268
35.8984574,35.90912977,2.475236445
35.90912977,35.91957517,2.476025083
35.91957517,35.93000832,2.477006846
35.93000832,35.9376679,2.475226118
35.9376679,35.94619319,2.476820746
35.94619319,35.95453581,2.477449348
35.95453581,35.96254244,2.477907272
35.96254244,35.97058651,2.478706647
35.97058651,35.97851454,2.479356102
35.97851454,35.98842194,2.482089918
35.98842194,35.99549468,2.480198075
35.99549468,36.00490632,2.483210032
36.00490632,36.01450113,2.484288835
36.01450113,36.02203688,2.483142851
36.02203688,36.03043302,2.484720352
36.03043302,36.03773921,2.484429408
36.03773921,36.04571941,2.485798696
36.04571941,36.05286966,2.485728152
36.05286966,36.06272829,2.489116979
36.06272829,36.06945921,2.48692744
36.06945921,36.07705804,2.488435877
36.07705804,36.08405431,2.488556439
36.08405431,36.09140784,2.489579487
36.09140784,36.09907609,2.490593986
36.09907609,36.10580915,2.490388525
36.10580915,36.11290893,2.491395984
36.11290893,36.12189784,2.493960749
36.12189784,36.12821215,2.492141554
36.12821215,36.13520162,2.493417598
36.13520162,36.14191767,2.493809314
36.14191767,36.14855422,2.494368942
36.14855422,36.15514279,2.494952498
36.15514279,36.16325666,2.497104788
36.16325666,36.1691214,2.495627794
36.1691214,36.17683575,2.49803551
36.17683575,36.18268631,2.49690584
36.18268631,36.18923679,2.49816251
36.18923679,36.19538229,2.498380891
36.19538229,36.20207812,2.499516053
36.20207812,36.20807163,2.49945091
36.20807163,36.21429215,2.500248288
36.21429215,36.22031839,2.500645968
36.22031839,36.22635208,2.501226883
36.22635208,36.23333832,2.502753624
36.23333832,36.23994645,2.503040337
36.23994645,36.2457534,2.502868003
36.2457534,36.25334299,2.505203251
36.25334299,36.26037769,2.505370604
36.26037769,36.26701118,2.505638829
36.26701118,36.27322787,2.505853302
36.27322787,36.27866958,2.505669905
36.27866958,36.28520065,2.507277122
36.28520065,36.29038582,2.506552731
36.29038582,36.29784989,2.509325062
36.29784989,36.30434171,2.509063118
36.30434171,36.31116709,2.510014449
36.31116709,36.31775676,2.510428264
36.31775676,36.32433064,2.511039573
36.32433064,36.329873,2.510633625
36.329873,36.33496313,2.510708831
36.33496313,36.34013829,2.511278249
36.34013829,36.34595609,2.512413363
36.34595609,36.35115362,2.512346737
36.35115362,36.35635278,2.512842974
36.35635278,36.36125361,2.513039415
36.36125361,36.36777851,2.515129854
36.36777851,36.37208694,2.513534313
36.37208694,36.37790662,2.515455569
36.37790662,36.38270059,2.514983673
36.38270059,36.38751015,2.515455463
36.38751015,36.39223187,2.515825319
36.39223187,36.39728538,2.516606442
36.39728538,36.40179916,2.516547608
36.40179916,36.40739099,2.518055206
36.40739099,36.41260554,2.518210062
36.41260554,36.41845063,2.519336828
36.41845063,36.42374149,2.519338836
36.42374149,36.42916851,2.519978483
36.42916851,36.43327952,2.519178923
36.43327952,36.43780326,2.519982867
36.43780326,36.44207385,2.520160212
36.44207385,36.44677672,2.520998887
36.44677672,36.45232152,2.52228836
36.45232152,36.45750269,2.522452386
36.45750269,36.46223091,2.522492492
36.46223091,36.46625527,2.522238574
36.46625527,36.47044474,2.522786654
36.47044474,36.47586594,2.524417066
36.47586594,36.47965245,2.523298274
36.47965245,36.48448615,2.524705797
36.48448615,36.48948288,2.525328815
36.48948288,36.49438782,2.525712525
36.49438782,36.49926873,2.526155267
36.49926873,36.50409291,2.526563008
36.50409291,36.50887455,2.526979554
36.50887455,36.51360837,2.527386768
36.51360837,36.51829659,2.527791644
36.51829659,36.5217692,2.527022185
36.5217692,36.52570002,2.52781086
36.52570002,36.52933315,2.527887228
36.52933315,36.53313414,2.528400828
36.53313414,36.53787519,2.529702606
36.53787519,36.54147992,2.529017454
36.54147992,36.54504852,2.529324354
36.54504852,36.54855815,2.529604984
36.54855815,36.55204663,2.529917829
36.55204663,36.55560863,2.53032331
36.55560863,36.56014211,2.531633759
36.56014211,36.56401511,2.531404704
36.56401511,36.56726736,2.531152518
36.56726736,36.57178065,2.532723049
36.57178065,36.57463823,2.531496834
36.57463823,36.57813453,2.532407491
36.57813453,36.58238593,2.533495304
36.58238593,36.58632325,2.533585799
36.58632325,36.59034925,2.534049159
36.59034925,36.59322204,2.53327908
36.59322204,36.59650716,2.5339648
36.59650716,36.60059587,2.535081002
36.60059587,36.60435161,2.535137123
36.60435161,36.60820514,2.535592317
36.60820514,36.61196883,2.535869193
36.61196883,36.61571532,2.536210157
36.61571532,36.61941663,2.536521498
36.61941663,36.62209905,2.535854839
36.62209905,36.62541267,2.536741306
36.62541267,36.62911219,2.53744253
36.62911219,36.63174719,2.536730077
36.63174719,36.6347088,2.537307435
36.6347088,36.63754714,2.537465998
36.63754714,36.64042839,2.537779014
36.64042839,36.64317209,2.537915644
36.64317209,36.64596207,2.538223033
36.64596207,36.64867923,2.538415708
36.64867923,36.65167091,2.538948805
36.65167091,36.65515111,2.539722015
36.65515111,36.65841291,2.539834804
36.65841291,36.6610658,2.539536289
36.6610658,36.66369999,2.53977005
36.66369999,36.66628985,2.539976395
36.66628985,36.6697278,2.541070949
36.6697278,36.67242883,2.540661186
36.67242883,36.67493815,2.540726518
36.67493815,36.67746604,2.540983872
36.67746604,36.68077924,2.542009748
36.68077924,36.68314164,2.541374244
36.68314164,36.68575166,2.541846677
36.68575166,36.68882404,2.542557411
36.68882404,36.6909883,2.541941657
36.6909883,36.69425568,2.543250742
36.69425568,36.69653598,2.5425746
36.69653598,36.69924429,2.5432196
36.69924429,36.70142317,2.542947904
36.70142317,36.70384413,2.543397332
36.70384413,36.70608448,2.543447106
36.70608448,36.70837569,2.543711166
36.70837569,36.71067562,2.543937913
36.71067562,36.71309401,2.544275255
36.71309401,36.71525922,2.544252202
36.71525922,36.71750381,2.544537638
36.71750381,36.71966871,2.544671541
36.71966871,36.72256987,2.545613826
36.72256987,36.72515888,2.545577757
36.72515888,36.72784643,2.545922674
36.72784643,36.72975292,2.545397369
36.72975292,36.73212736,2.546046743
36.73212736,36.73477373,2.546544624
36.73477373,36.73661156,2.545987928
36.73661156,36.73930935,2.547022777
36.73930935,36.74106396,2.546336333
36.74106396,36.74384955,2.547534278
36.74384955,36.74619048,2.547354709
36.74619048,36.74810712,2.54715318
36.74810712,36.75008327,2.547395086
36.75008327,36.75202948,2.547553208
36.75202948,36.75393937,2.547702082
36.75393937,36.75583979,2.547874366
36.75583979,36.75772494,2.548039949
36.75772494,36.75959541,2.548204666
36.75959541,36.76145294,2.548369715
36.76145294,36.76329257,2.548528596
36.76329257,36.76511994,2.548691385
36.76511994,36.7673414,2.549259388
36.7673414,36.76898323,2.548891151
36.76898323,36.77110151,2.549523836
36.77110151,36.77332858,2.54983421
36.77332858,36.77550218,2.549992677
36.77550218,36.77712322,2.549646964
36.77712322,36.77890154,2.549958502
36.77890154,36.78115216,2.550600027
36.78115216,36.78320652,2.550617953
36.78320652,36.78475979,2.550312355
36.78475979,36.78649753,2.550644634
36.78649753,36.78866263,2.551237366
36.78866263,36.7904814,2.551097073
36.7904814,36.79214368,2.551113667
36.79214368,36.79427331,2.551739203
36.79427331,36.79619928,2.551738197
36.79619928,36.79791042,2.551706652
36.79791042,36.79995093,2.552198854
36.79995093,36.80132047,2.551722068
36.80132047,36.80295338,2.552115768
36.80295338,36.80443183,2.5521167
